Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
Jack Pugh,47,TE,"6'5""",241 lbs,Fr.,"Columbus, Ohio",Hilliard Bradley,2021
Owen Arnett,48,S,"5'11""",215 lbs,Fr.,"Delafield, Wis.",Arrowhead,2021
Cole Dakovich,48,TE,"6'5""",239 lbs,R-Fr.,"Waukesha, Wis.",Catholic Memorial,2021
Cam Large,49,TE,"6'3""",245 lbs,R-Fr.,"Pomfret, Conn.",Noble & Greenough,2021
Logan Brown,50,OL,"6'6""",311 lbs,So.,"Grand Rapids, Mich.",East Kentwood,2021
Bryan Sanborn,51,ILB,"6'1""",229 lbs,Fr.,"Deer Park, Ill.",Lake Zurich,2021
Kaden Johnson,52,OLB,"6'2""",233 lbs,R-Fr.,"St. Paul, Minn",Minnehaha Academy,2021
Jordan Turner,54,ILB,"6'1""",228 lbs,R-Fr.,"Farmington, Mich.",Farmington,2021
Maema Njongmeta,55,ILB,"6'0""",227 lbs,So.,"Buffalo Grove, Ill.",Adlai E. Stevenson,2021
Rodas Johnson,56,DE,"6'2""",286 lbs,So.,"Columbus, Ohio",St. Francis DeSales,2021
Jack Sanborn,57,ILB,"6'2""",236 lbs,Sr.,"Deer Park, Ill.",Lake Zurich,2021
Mike Maskalunas,58,ILB,"6'3""",239 lbs,Sr.,"Long Grove, Ill.",Adlai E. Stevenson,2021
Aaron Witt,59,OLB,"6'6""",249 lbs,So.,"Winona, Minn.",Winona,2021
Logan Bruss,60,OL,"6'5""",316 lbs,Sr.,"Kimberly, Wis.",Kimberly,2021
Dylan Barrett,61,OL,"6'5""",303 lbs,R-Fr.,"St. Charles, Ill.",East,2021
Cormac Sampson,62,OL,"6'4""",305 lbs,Jr.,"Eau Claire, Wis.",Memorial,2021
Tanor Bortolini,63,OL,"6'4""",306 lbs,R-Fr.,"Kewaunee, Wis.",Kewaunee,2021
Duncan McKinley,64,LS,"6'2""",222 lbs,Fr.,"Eau Claire, Wis.",Memorial,2021
Sean Timmis,64,OL,"6'4""",306 lbs,R-Fr.,"Shorewood, Wis.",Marquette University HS,2021
Tyler Beach,65,OL,"6'6""",312 lbs,Sr.,"Grafton, Wis.",Port Washington,2021
Nolan Rucci,66,OL,"6'8""",294 lbs,Fr.,"Lititz, Pa.",Warwick,2021
JP Benzschawel,67,OL,"6'6""",302 lbs,Fr.,"Grafton, Wis.",Grafton,2021
Ben Barten,68,OL,"6'5""",303 lbs,R-Fr.,"Stratford, Wis.",Stratford,2021
Zach Zei,69,LS,"6'2""",214 lbs,Fr.,"Arlington Heights, Ill.",Prospect,2021
Josh Seltzner,70,OL,"6'4""",310 lbs,Sr.,"Columbus, Wis.",Columbus,2021
Riley Mahlman,71,OL,"6'8""",300 lbs,Fr.,"Lakeville, Minn.",South,2021
Kerry Kodanko,73,OL,"6'2""",301 lbs,R-Fr.,"Green Bay, Wis.",West DePere,2021
Michael Furtney,74,OL,"6'5""",312 lbs,Jr.,"Milan, Mich.",Milan,2021
Michael Balistreri,75,DE,"6'4""",276 lbs,Sr.,"Grafton, Wis.",University School of Milwaukee,2021
Joe Tippmann,75,OL,"6'6""",320 lbs,So.,"Fort Wayne, Ind.",Bishop Dwenger,2021
Tommy Brunner,76,DE,"6'3""",254 lbs,So.,"Milwaukee, Wis.",Whitefish Bay,2021
Blake Smithback,77,OL,"6'2""",304 lbs,Sr.,"Waunakee, Wis.",Waunakee,2021
Trey Wedig,78,OL,"6'7""",315 lbs,R-Fr.,"Oconomowoc, Wis.",Kettle Moraine,2021
Jack Nelson,79,OL,"6'7""",304 lbs,R-Fr.,"Stoughton, Wis.",Stoughton,2021
Jaylan Franklin,81,TE,"6'4""",240 lbs,Jr.,"Brownstown, Mich.",O.A. Carlson,2021
Jack Eschenbach,82,TE,"6'6""",245 lbs,Jr.,"Downers Grove, Ill.",Benet Academy,2021
Jake Ferguson,84,TE,"6'5""",244 lbs,Sr.,"Madison, Wis.",Memorial,2021
Clay Cundiff,85,TE,"6'3""",244 lbs,So.,"Wichita, Kan.",Bishop Carroll,2021
Hayden Rucci,87,TE,"6'4""",260 lbs,So.,"Lititz, Pa.",Warwick,2021
A.J. Abbott,89,WR,"6'2""",196 lbs,Jr.,"Northville, Mich.",West Bloomfield,2021
James Thompson Jr.,90,DE,"6'5""",290 lbs,R-Fr.,"Cincinnati, Ohio",Roger Bacon,2021
Bryson Williams,91,NT,"6'2""",291 lbs,Sr.,"Lincoln, Neb.",Southeast,2021
Matt Henningsen,92,DE,"6'3""",291 lbs,Sr.,"Menomonee Falls, Wis.",Menomonee Falls,2021
Isaac Townsend,93,DE,"6'5""",275 lbs,So.,"Arvada, Colo.",Ralston Valley,2021
Gio Paez,94,DE,"6'3""",310 lbs,So.,"Los Angeles, Calif.",William A. Hough (N.C.),2021
Keeanu Benton,95,NT,"6'4""",317 lbs,Jr.,"Janesville, Wis.",Craig,2021
Cade McDonald,96,DE,"6'6""",278 lbs,R-Fr.,"Houlton, Wis.",Hudson,2021
Conor Schlichting,96,P,"6'2""",237 lbs,Sr.,"Madison, Wis.",East,2021
Mike Jarvis,97,DE,"6'4""",274 lbs,Fr.,"Medford, N.J.",Shawnee,2021
C.J. Goetz,98,OLB,"6'3""",243 lbs,Jr.,"Muskego, Wis.",Catholic Memorial,2021
Isaiah Mullens,99,DE,"6'4""",297 lbs,Jr.,"Columbus, Ohio",Harvest Prep,2021
Braelon Allen,0,RB,"6'2""",235 lbs,So.,"Fond du Lac, Wis.",Fond du Lac,2022
Chez Mellusi,1,RB,"5'11""",210 lbs,Sr.,"Naples, Fla.",Naples,2022
Jay Shaw,1,CB,"5'11""",187 lbs,Sr.,"Corona, Calif.",Centennial,2022
Ricardo Hallman,2,CB,"5'10""",177 lbs,R-Fr.,"Miami, Fla.",University School,2022
Chase Wolf,2,QB,"6'1""",195 lbs,Sr.,"Cincinnati, Ohio",Saint Xavier,2022
T.J. Bollers,3,OLB,"6'2""",251 lbs,R-Fr.,"Tiffin, Iowa",Clear Creek Amana,2022
Keontez Lewis,3,WR,"6'2""",190 lbs,So.,"East St. Louis, Ill.",East St. Louis,2022
A'Khoury Lyde,4,CB,"5'9""",191 lbs,Fr.,"Paterson, N.J.",DePaul Catholic,2022
Cedrick Dort Jr.,5,CB,"5'11""",183 lbs,Sr.,"Palm Beach Gardens, Fla.",Dwyer,2022
Graham Mertz,5,QB,"6'3""",216 lbs,Jr.,"Overland Park, Kan.",Blue Valley North,2022
Dean Engram,6,WR,"5'9""",170 lbs,Jr.,"Columbia, Md.",Gonzaga College HS,2022
Spencer Lytle,7,ILB,"6'2""",234 lbs,Jr.,"Redondo Beach, Calif.",St. John Bosco,2022
Avyonne Jones,8,CB,"5'11""",187 lbs,Fr.,"Southlake, Texas",Carroll,2022
Austin Brown,9,S,"6'1""",204 lbs,Fr.,"Johnston City, Ill.",Johnston City,2022
Skyler Bell,11,WR,"6'0""",190 lbs,R-Fr.,"Bronx, N.Y.",The Taft School,2022
Alexander Smith,11,CB,"5'11""",183 lbs,Sr.,"Culver City, Calif.",Culver City,2022
Marshall Howe,12,QB,"6'1""",187 lbs,Fr.,"Pacific Palisades, Calif.",Avon Old Farms (Conn.),2022
Max Lofy,12,CB,"5'10""",189 lbs,So.,"Colorado Springs, Colo.",Pine Creek,2022
Chimere Dike,13,WR,"6'1""",195 lbs,Jr.,"Waukesha, Wis.",North,2022
Kamo'i Latu,13,S,"6'0""",195 lbs,Jr.,"Honolulu, Hawaii",Saint Louis School,2022
Preston Zachman,14,S,"6'1""",208 lbs,So.,"Elysburg, Pa.",Southern Columbia,2022
