Name,Number,Position,Height,Weight,Academic Year,Hometown,Highschool,Year
Trent Denlinger,55,DL,"6'6""",,Fr.,"Cuba City, Wis.",Cuba City,2012
Joseph McNamara,55,OL,"6'1""",,So.,"Pembroke Pines, Fla.",Cypress Bay,2012
Riki Kodanko,56,OL,"6'9""",,So.,"Green Bay, Wis.",West De Pere,2012
James McGuire,56,LS,"6'1""",,So.,"St. Paul, Minn.",Cretin-Derham Hall,2012
Jake Meador,57,OL,"6'7""",,Fr.,"Whiteland, Ind.",Whiteland,2012
Ben Ruechel,57,LB,"6'1""",,So.,"Oconto, Wis.",Oconto,2012
Jacob Ninneman,58,DL,"6'1""",,So.,"Oregon, Wis.",Oregon,2012
Rick Wagner,58,OL,"6'6""",,Sr.,"West Allis, Wis.",Nathan Hale,2012
Marcus Trotter,59,LB,"6'0""",,So.,"Racine, Wis.",Marquette,2012
Connor Udelhoven,60,LS,"6'0""",,Fr.,"St. Paul, Minn.",Cretin-Derham Hall,2012
Tyler Marz,61,OL,"6'7""",,Fr.,"Springfield, Minn.",Springfield,2012
Walker Williams,62,OL,"6'7""",,Fr.,"Tacoma, Wash.",Baptist,2012
Robert Burge,64,OL,"6'7""",,Sr.,"Holmen, Wis.",Holmen,2012
Jonathan Coon,65,OL,"6'7""",,Fr.,"Franklin, Wis.",Pius XI,2012
Logan Schmidt,68,DL,"6'5""",,Fr.,"Gotham, Wis.",Richland Center,2012
Dan Voltz,70,OL,"6'4""",,Fr.,"Barrington, Ill.",Barrington,2012
Ray Ball,71,OL,"6'7""",,Fr.,"Columbus, Ohio",Westerville South,2012
Travis Frederick,72,OL,"6'4""",,Jr.,"Sharon, Wis.",Big Foot,2012
Dallas Lewallen,73,OL,"6'6""",,So.,"Berlin, Wis.",Berlin,2012
Konrad Zagzebski,74,DL,"6'3""",,So.,"Weston, Wis.",D.C. Everest,2012
Zac Matthias,75,OL,"6'5""",,Jr.,"Hemlock, Mich.",Hemlock,2012
Arthur Goldberg,76,DL,"6'3""",,Fr.,"Mount Lebanon, Pa.",Mount Lebanon,2012
Bryce Gilbert,77,DL,"6'1""",,So.,"Brookfield, Wis.",Central,2012
Rob Havenstein,78,OL,"6'8""",,So.,"Mount Airy, Md.",Linganore,2012
Ryan Groy,79,OL,"6'5""",,Jr.,"Middleton, Wis.",Middleton,2012
Brock DeCicco,81,TE,"6'5""",,Jr.,"Jefferson Hills, Pa.",Thomas Jefferson,2012
Jake Stengel,82,WR,"6'3""",,Fr.,"Sheboygan, Wis.",North,2012
Austin Maly,84,TE,"6'5""",,Fr.,"Waunakee, Wis.",Waunakee,2012
Brian Wozniak,85,TE,"6'4""",,Jr.,"Loveland, Ohio",Loveland,2012
Sherard Cadogan,86,FB,"6'3""",,So.,"Washington Township, N.J.",Camden Catholic,2012
Ethan Hemer,87,DL,"6'6""",,Jr.,"Medford, Wis.",Medford,2012
Marquis Mason,87,WR,"6'4""",,So.,"Madison, Wis.",East,2012
Chase Hammond,89,WR,"6'5""",,So.,"Youngstown, Ohio",Boardman,2012
Drew Meyer,90,P,"6'2""",,Fr.,"Hartland, Wis.",Arrowhead,2012
Matt Prell,90,TE,"6'5""",,Fr.,"Kenosha, Wis.",Bradford,2012
Brett Nethery,91,P,"6'2""",,Fr.,"Greendale, Wis.",Greendale,2012
Pat Muldoon,92,DL,"6'3""",,Jr.,"Mason, Ohio",Saint Xavier,2012
Jake Keefer,93,DL,"6'3""",,Fr.,"Woodville, Wis.",Baldwin-Woodville,2012
Kyle French,94,K,"6'1""",,So.,"Menomonee Falls, Wis.",Menomonee Falls,2012
Beau Allen,96,DL,"6'3""",,Jr.,"Minnetonka, Minn.",Minnetonka,2012
Stephen Salata,96,K,"6'1""",,Fr.,"Buffalo Grove, Ill.",Stevenson,2012
Brendan Kelly,97,DL,"6'6""",,Sr.,"Eden Prairie, Minn.",Holy Angels,2012
James Adeyanju,99,DL,"6'2""",,Fr.,"Chicago, Ill.",Curie Metropolitan,2012
A.J. Jordan,1,WR,"6'0""",,So.,"Dayton, Ohio",Trotwood Madison,2013
Joel Stave,2,QB,"6'5""",,So.,"Greenfield, Wis.",Whitnall,2013
Kenzel Doe,3,WR,"5'8""",,Jr.,"Reidsville, N.C.",Reidsville,2013
Jared Abbrederis,4,WR,"6'2""",,Sr.,"Wautoma, Wis.",Wautoma,2013
Darius Hillary,5,CB,"5'11""",,So.,"Cincinnati, Ohio",Sycamore,2013
Corey Clement,6,RB,"5'11""",,Fr.,"Glassboro, N.J.",Glassboro,2013
Alec James,6,OLB,"6'3""",,Fr.,"Brookfield, Wis.",East,2013
Brett Arnold,7,WR,"5'11""",,Sr.,"Sherwood, Wis.",Kaukana,2013
Michael Caputo,7,S,"6'1""",,So.,"Imperial, Pa.",West Allegheny,2013
Sojourn Shelton,8,CB,"5'9""",,Fr.,"Fort Lauderdale, Fla.",Plantation,2013
T.J. Watt,8,TE,"6'5""",,Fr.,"Pewaukee, Wis.",Pewaukee,2013
Jordan Fredrick,9,WR,"6'4""",,So.,"Madison, Wis.",Memorial,2013
Devin Gaulden,10,CB,"5'10""",,Jr.,"Miramar, Fla.",University School,2013
Curt Phillips,10,QB,"6'3""",,Sr.,"Kingsport, Tenn.",Sullivan South,2013
Jazz Peavy,11,WR,"6'0""",,Fr.,"Kenosha, Wis.",Tremper,2013
T.J. Reynard,11,CB,"5'9""",,So.,"Virginia Beach, Va.",Greenbrier Christian/Independence C.C.,2013
Thad Armstrong,12,QB,"6'3""",,Fr.,"Ottawa, Ill.",Wheaton Warrenville South,2013
Dezmen Southward,12,S,"6'2""",,Sr.,"Sunrise, Fla.",St. Thomas Aquinas,2013
Bart Houston,13,QB,"6'4""",,Fr.,"Dublin, Calif.",De La Salle,2013
Conor O’Neill,13,ILB,"6'1""",,Sr.,"Delray Beach, Fla.",St. Thomas Aquinas,2013
Nate Hammon,14,S,"6'1""",,Fr.,"Milton, Wis.",Milton,2013
Connor Senger,14,QB,"5'10""",,Fr.,"Milwaukee, Wis.",Pius XI,2013
Jeff Duckworth,15,WR,"6'0""",,Sr.,"Cincinnati, Ohio",Princeton,2013
Joe Ferguson,16,S,"6'1""",,Fr.,"Madison, Wis.",Memorial,2013
Reggie Love,16,WR,"6'3""",,So.,"Boynton Beach, Fla.",Spanish River,2013
Sherard Cadogan,17,OLB,"6'3""",,Jr.,"Washington Township, N.J.",Camden Catholic,2013
Tanner McEvoy,17,S,"6'6""",,So.,"Hillsdale, N.J.",Bergen Catholic/Arizona Western College,2013
Lance Baretz,18,WR,"5'11""",,So.,"Franklin, Wis.",Franklin,2013
Dare Ogunbowale,18,CB,"5'11""",,Fr.,"Milwaukee, Wis.",Marquette,2013
Leo Musso,19,S,"5'10""",,Fr.,"Waunakee, Wis.",Waunakee,2013
James White,20,RB,"5'10""",,Sr.,"Fort Lauderdale, Fla.",St. Thomas Aquinas,2013
Peniel Jean,21,CB,"5'11""",,Jr.,"West Palm Beach, Fla.",Palm Beach Central,2013
Jeffrey Lewis,22,RB,"6'2""",,Jr.,"Brookfield, Wis.",Central,2013
Jakarrie Washington,22,CB,"5'9""",,Fr.,"Everett, Mass.",Everett,2013
Vonte Jackson,23,RB,"6'1""",,Fr.,"Kenosha, Wis.",Bradford,2013
Jerry Ponio,23,S,"6'1""",,Sr.,"Chicago, Ill.",St. Rita,2013
Keelon Brookins,24,S,"5'10""",,Fr.,"St. Paul, Minn.",Tartan,2013
Melvin Gordon,25,RB,"6'1""",,So.,"Kenosha, Wis.",Bradford,2013
Matt Johnson,26,S,"6'1""",,Fr.,"Cedarburg, Wis.",Cedarburg,2013
Derek Straus,26,FB,"6'0""",,So.,"Waunakee, Wis.",Waunakee,2013
Kyle Zuleger,27,S,"5'11""",,Sr.,"Appleton, Wis.",East,2013
Matt Hubley,28,S,"6'0""",,Fr.,"Waukesha, Wis.",Catholic Memorial,2013
Terrance Floyd,29,CB,"5'10""",,So.,"Boynton Beach, Fla.",Santaluces,2013
Derek Landisch,30,ILB,"6'0""",,Jr.,"Nashotah, Wis.",Arrowhead,2013
Austin Ramesh,30,FB,"6'1""",,Fr.,"Land O’ Lakes, Wis.",Northland Pines,2013
Connor Cummins,31,WR,"6'1""",,Jr.,"Kettering, Ohio",Archbishop Alter,2013
Hugs Etienne,31,CB,"5'11""",,Fr.,"Fort Lauderdale, Fla.",South Plantation,2013
Leon Jacobs,32,OLB,"6'2""",,Fr.,"San Pedro, Calif.",Golden Valley,2013
Chikwe Obasih,34,DE,"6'2""",,Fr.,"Brookfield, Wis.",Central,2013
Derek Watt,34,FB,"6'2""",,So.,"Pewaukee, Wis.",Pewaukee,2013
Ethan Armstrong,36,OLB,"6'2""",,Sr.,"Ottawa, Ill.",Ottawa Township,2013
D.J. Spurling,36,FB,"5'10""",,Fr.,"Slinger, Wis.",Slinger,2013
Andrew Endicott,37,K,"5'9""",,Fr.,"Roseville, Calif.",Jesuit,2013
Kevin MacCudden,37,FB,"5'11""",,So.,"Waukesha, Wis.",West,2013
Eric Steffes,38,TE,"6'3""",,Fr.,"Mount Calvary, Wis.",St. Mary's Springs,2013
Brady Kelliher,39,LS,"6'8""",,Fr.,"Hartland, Wis.",Arrowhead,2013
Troy Fumagalli,41,TE,"6'5""",,Fr.,"Aurora, Ill.",Waubonsie Valley,2013
Jesse Hayes,41,OLB,"6'3""",,So.,"Cincinnati, Ohio",Moeller,2013
Alex Walker,42,TE,"6'4""",,Fr.,"Glendale, Wis.",Nicolet,2013
Michael Trotter,43,S,"6'0""",,Jr.,"Racine, Wis.",Marquette,2013
Chris Borland,44,ILB,"5'11""",,Sr.,"Kettering, Ohio",Archbishop Alter,2013
Warren Herring,45,NG,"6'3""",,Jr.,"Fairview Heights, Ill.",Belleville East,2013
Austin Traylor,46,TE,"6'3""",,So.,"Columbus, Ohio",Walnut Ridge,2013
Vince Biegel,47,OLB,"6'4""",,Fr.,"Wisconsin Rapids, Wis.",Lincoln,2013
Jack Cichy,48,ILB,"6'2""",,Fr.,"Somerset, Wis.",Hill Murray,2013
Jacob Pedersen,48,TE,"6'5""",,Sr.,"Menominee, Mich.",Menominee,2013
Sam Arneson,49,TE,"6'4""",,Jr.,"Merrill, Wis.",Merrill,2013
Josh Harrison,50,OLB,"6'0""",,Jr.,"Huber Heights, Ohio",Wayne,2013
Tyler Dippel,51,DE,"6'4""",,Sr.,"Slinger, Wis.",Hartford,2013
Carl Miller,52,ILB,"6'3""",,Fr.,"Northbrook, Ill.",Adlai E. Stevenson,2013
Kyle Costigan,54,OL,"6'5""",,Jr.,"Wind Lake, Wis.",Muskego,2013
Jake Rademacher,54,ILB,"6'1""",,Fr.,"Wales, Wis.",Kettle Morraine,2013
Trent Denlinger,55,OL,"6'6""",,Fr.,"Cuba City, Wis.",Cuba City,2013
Garret Dooley,55,ILB,"6'2""",,Fr.,"Rochester, Ill.",Rochester,2013
James McGuire,56,LS,"6'0""",,Jr.,"St. Paul, Minn.",Cretin-Derham Hall,2013
Ben Ruechel,57,ILB,"6'2""",,Jr.,"Oconto, Wis.",Oconto,2013
Jacob Ninneman,58,OL,"6'2""",,Jr.,"Oregon, Wis.",Oregon,2013
Joe Schobert,58,OLB,"6'2""",,So.,"Waukesha, Wis.",West,2013
Marcus Trotter,59,ILB,"6'0""",,Jr.,"Racine, Wis.",Marquette,2013
Matt Miller,60,OL,"6'5""",,Fr.,"Maumee, Ohio",St. Johns Jesuit,2013
Connor Udelhoven,60,LS,"5'11""",,Fr.,"St. Paul, Minn.",Cretin-Derham Hall,2013
Tyler Marz,61,OL,"6'5""",,So.,"Springfield, Minn.",Springfield,2013
Walker Williams,62,OL,"6'7""",,Fr.,"Tacoma, Wash.",Baptist,2013
Chris Gill,67,OL,"6'5""",,Sr.,"Appleton, Wis.",Xavier/Ole Miss,2013
Dan Voltz,70,OL,"6'3""",,Fr.,"Barrington, Ill.",Barrington,2013
Ray Ball,71,OL,"6'7""",,So.,"Columbus, Ohio",Westerville South,2013
Ben Hemer,72,OL,"6'4""",,Fr.,"Medford, Wis.",Medford,2013
Dallas Lewallen,73,OL,"6'6""",,Jr.,"Berlin, Wis.",Berlin,2013
Hayden Biegel,74,OL,"6'6""",,Fr.,"Wisconsin Rapids, Wis.",Wisconsin Rapids,2013
Zac Matthias,75,OL,"6'5""",,Sr.,"Hemlock, Mich.",Hemlock,2013
Aidan McNamara,76,OL,"6'4""",,Fr.,"Madison, Wis.",West,2013
Bryce Gilbert,77,NG,"6'2""",,Jr.,"Brookfield, Wis.",Central,2013
Jackson Keeler,77,OL,"6'6""",,Fr.,"Barrington, Ill.",Barrington,2013
Rob Havenstein,78,OL,"6'8""",,Jr.,"Mount Airy, Md.",Linganore,2013
Ryan Groy,79,OL,"6'5""",,Sr.,"Middleton, Wis.",Middleton,2013
Brock DeCicco,81,TE,"6'5""",,Sr.,"Jefferson Hills, Pa.",Thomas Jefferson,2013
Jake Stengel,82,WR,"6'3""",,So.,"Sheboygan, Wis.",North,2013
Robert Wheelwright,82,WR,"6'2""",,Fr.,"Columbus, Ohio",Walnut Ridge,2013
Austin Maly,84,TE,"6'5""",,So.,"Waunakee, Wis.",Waunakee,2013
Brian Wozniak,85,TE,"6'4""",,Sr.,"Loveland, Ohio",Loveland,2013
Alex Erickson,86,WR,"6'0""",,Fr.,"Darlington, Wis.",Darlington,2013
Ethan Hemer,87,DE,"6'6""",,Sr.,"Medford, Wis.",Medford,2013
Marquis Mason,87,WR,"6'4""",,Jr.,"Madison, Wis.",East,2013
Drew Meyer,90,P,"6'3""",,So.,"Hartland, Wis.",Arrowhead,2013
Brett Nethery,91,P,"6'0""",,Fr.,"Greendale, Wis.",Greendale,2013
Konrad Zagzebski,91,DE,"6'3""",,Jr.,"Weston, Wis.",D.C. Everest,2013
Pat Muldoon,92,DE,"6'3""",,Sr.,"Mason, Ohio",Saint Xavier,2013
Jake Keefer,93,DE,"6'3""",,So.,"Woodville, Wis.",Baldwin-Woodville,2013
Kyle French,94,K,"6'1""",,Jr.,"Menomonee Falls, Wis.",Menomonee Falls,2013
Logan Schmidt,94,DE,"6'4""",,Fr.,"Gotham, Wis.",Richland Center,2013
Arthur Goldberg,95,NG,"6'3""",,Fr.,"Mount Lebanon, Pa.",Mount Lebanon,2013
Beau Allen,96,NG,"6'3""",,Sr.,"Minnetonka, Minn.",Minnetonka,2013
Brendan Kelly,97,OLB,"6'6""",,Sr.,"Eden Prairie, Minn.",Holy Angels,2013
Jack Russell,97,K,"6'0""",,So.,"Waunakee, Wis.",Waunakee,2013
Stephen Salata,98,K,"6'2""",,So.,"Buffalo Grove, Ill.",Stevenson,2013
James Adeyanju,99,DE,"6'2""",,So.,"Chicago, Ill.",Curie Metropolitan,2013
A.J. Jordan,1,S,"6'0""",,Jr.,"Dayton, Ohio",Trotwood Madison,2014
Joel Stave,2,QB,"6'5""",,Jr.,"Greenfield, Wis.",Whitnall,2014
Kenzel Doe,3,WR,"5'8""",,Sr.,"Reidsville, N.C.",Reidsville,2014
Devin Gaulden,4,CB,"5'10""",,Jr.,"Miramar, Fla.",University School,2014
Darius Hillary,5,CB,"5'11""",,Jr.,"Cincinnati, Ohio",Sycamore,2014
Tanner McEvoy,5,QB,"6'6""",,Jr.,"Hillsdale, N.J.",Bergen Catholic/Arizona Western College,2014
Corey Clement,6,RB,"5'11""",,So.,"Glassboro, N.J.",Glassboro,2014
Alec James,6,DE,"6'3""",,Fr.,"Brookfield, Wis.",East,2014
Michael Caputo,7,S,"6'1""",,Jr.,"Imperial, Pa.",West Allegheny,2014
D.J. Gillins,7,QB,"6'3""",,Fr.,"Jacksonville, Fla.",Ribault,2014
Sojourn Shelton,8,CB,"5'9""",,So.,"Fort Lauderdale, Fla.",Plantation,2014
Jordan Fredrick,9,WR,"6'4""",,Jr.,"Madison, Wis.",Memorial,2014
Rafael Gaglianone,10,K,"5'11""",,Fr.,"Sao Paulo, Brazil",Chattanooga (Tenn.) Baylor,2014
Krenwick Sanders,10,WR,"6'1""",,Fr.,"Jesup, Ga.",Wayne County,2014
Jazz Peavy,11,WR,"6'0""",,Fr.,"Kenosha, Wis.",Tremper,2014
T.J. Reynard,11,CB,"5'9""",,Jr.,"Virginia Beach, Va.",Greenbrier Christian/Independence C.C.,2014
Thad Armstrong,12,QB,"6'3""",,So.,"Ottawa, Ill.",Wheaton Warrenville South,2014
Natrell Jamerson,12,WR,"5'11""",,Fr.,"Ocala, Fla.",Vanguard,2014
Evan Bondoc,13,S,"6'1""",,Fr.,"Madison, Wis.",Edgewood,2014
Bart Houston,13,QB,"6'4""",,So.,"Dublin, Calif.",De La Salle,2014
D'Cota Dixon,14,CB,"5'10""",,Fr.,"Oak Hill, Fla.",New Smyrna Beach,2014
Connor Senger,14,QB,"5'10""",,Fr.,"Milwaukee, Wis.",Pius XI,2014
Robert Wheelwright,15,WR,"6'2""",,So.,"Columbus, Ohio",Walnut Ridge,2014
Reggie Love,16,WR,"6'3""",,So.,"Boynton Beach, Fla.",Spanish River,2014
Sherard Cadogan,17,OLB,"6'3""",,Sr.,"Washington Township, N.J.",Camden Catholic,2014
George Rushing,17,WR,"6'1""",,Fr.,"Miramar, Fla.",Cardinal Gibbons,2014
Lance Baretz,18,WR,"5'11""",,Sr.,"Franklin, Wis.",Franklin,2014
Ryan Connelly,19,OLB,"6'3""",,Fr.,"Eden Prairie, Minn.",Eden Prairie,2014
Leo Musso,19,S,"5'10""",,So.,"Waunakee, Wis.",Waunakee,2014
Austin Ramesh,20,FB,"6'1""",,Fr.,"Land O’ Lakes, Wis.",Northland Pines,2014
Peniel Jean,21,S,"5'11""",,Sr.,"West Palm Beach, Fla.",Palm Beach Central,2014
Mark Saari,21,RB,"6'0""",,Fr.,"Montreal, Wis.",Hurley,2014
Chasen Andersen,22,ILB,"5'11""",,Fr.,"Logan, Utah",Logan,2014
Caleb Kinlaw,22,RB,"5'9""",,Fr.,"Goose Creek, S.C.",Goose Creek,2014
Dare Ogunbowale,23,RB,"5'11""",,So.,"Milwaukee, Wis.",Marquette,2014
Daniel Supernaw,23,S,"6'2""",,Fr.,"Delavan, Wis.",Delavan-Darien,2014
Keelon Brookins,24,OLB,"5'10""",,Fr.,"St. Paul, Minn.",Tartan,2014
John Damrow,24,TE,"6'3""",,Fr.,"Delavan, Wis.",Delavan-Darien,2014
Melvin Gordon,25,RB,"6'1""",,Jr.,"Kenosha, Wis.",Bradford,2014
Derrick Tindal,25,CB,"5'11""",,Fr.,"Fort Lauderdale, Fla.",Boyd Anderson,2014
Derek Straus,26,FB,"6'0""",,Jr.,"Waunakee, Wis.",Waunakee,2014
Austin Hudson,27,S,"6'2""",,Fr.,"Tampa, Fla.",Plant,2014
Taiwan Deal,28,RB,"6'0""",,Fr.,"Capitol Heights, Md.",DeMatha,2014
Terrance Floyd,29,CB,"5'10""",,Jr.,"Boynton Beach, Fla.",Santaluces,2014
Derek Landisch,30,ILB,"6'0""",,Sr.,"Nashotah, Wis.",Arrowhead,2014
Connor Cummins,31,WR,"6'1""",,Sr.,"Kettering, Ohio",Archbishop Alter,2014
Lubern Figaro,31,S,"6'0""",,Fr.,"Everett, Mass.",Everett,2014
Leon Jacobs,32,ILB,"6'2""",,So.,"San Pedro, Calif.",Golden Valley,2014
Chikwe Obasih,34,DE,"6'2""",,Fr.,"Brookfield, Wis.",Central,2014
Derek Watt,34,FB,"6'2""",,Jr.,"Pewaukee, Wis.",Pewaukee,2014
Joe Ferguson,36,S,"6'1""",,Fr.,"Madison, Wis.",Memorial,2014
D.J. Spurling,36,FB,"5'10""",,Fr.,"Slinger, Wis.",Slinger,2014
Andrew Endicott,37,K,"5'9""",,So.,"Roseville, Calif.",Jesuit,2014
Zander Neuville,38,LB,"6'5""",,Fr.,"Waupaca, Wis.",Waupaca,2014
P.J. Rosowski,38,P,"6'3""",,Fr.,"Stoughton, Wis.",Stoughton,2014
Brady Kelliher,39,DE,"6'8""",,Fr.,"Hartland, Wis.",Arrowhead,2014
Jesse Hayes,41,OLB,"6'3""",,Jr.,"Cincinnati, Ohio",Moeller,2014
T.J. Watt,42,TE,"6'5""",,Fr.,"Pewaukee, Wis.",Pewaukee,2014
Peter Roy,43,WR,"6'0""",,Fr.,"Muskego, Wis.",Muskego,2014
Michael Trotter,43,ILB,"6'0""",,Sr.,"Racine, Wis.",Marquette,2014
Eric Steffes,44,TE,"6'3""",,So.,"Mount Calvary, Wis.",St. Mary's Springs,2014
Warren Herring,45,NG,"6'3""",,Sr.,"Fairview Heights, Ill.",Belleville East,2014
Matt Austin,46,OLB,"6'3""",,Fr.,"Fond du Lac, Wis.",St. Mary’s Springs,2014
Austin Traylor,46,TE,"6'3""",,Jr.,"Columbus, Ohio",Walnut Ridge,2014
Vince Biegel,47,OLB,"6'4""",,So.,"Wisconsin Rapids, Wis.",Lincoln,2014
Jack Cichy,48,OLB,"6'2""",,So.,"Somerset, Wis.",Hill Murray,2014
Troy Fumagalli,48,TE,"6'5""",,Fr.,"Aurora, Ill.",Waubonsie Valley,2014
Sam Arneson,49,TE,"6'4""",,Sr.,"Merrill, Wis.",Merrill,2014
Justin Schweitzer,49,ILB,"6'1""",,Fr.,"Silver Lake, Wis.",Wilmot,2014
Josh Harrison,50,OLB,"6'0""",,Sr.,"Huber Heights, Ohio",Wayne,2014
Ashfott Fonjungo,52,DL,"6'0""",,Fr.,"Lanham, Md.",DeMatha,2014
Jacob Maxwell,52,OL,"6'6""",,Fr.,"Greendale, Wis.",Greendale,2014
T.J. Edwards,53,OLB,"6'1""",,Fr.,"Lake Villa, Ill.",Lakes Community,2014
Kyle Costigan,54,OL,"6'5""",,Sr.,"Wind Lake, Wis.",Muskego,2014
Trent Denlinger,55,OL,"6'6""",,So.,"Cuba City, Wis.",Cuba City,2014
Garret Dooley,55,DE,"6'2""",,Fr.,"Rochester, Ill.",Rochester,2014
James McGuire,56,LS,"6'0""",,Sr.,"St. Paul, Minn.",Cretin-Derham Hall,2014
Ben Ruechel,57,ILB,"6'2""",,Sr.,"Oconto, Wis.",Oconto,2014
George Panos,58,OL,"6'5""",,Fr.,"Hartland, Wis.",Arrowhead,2014
Joe Schobert,58,OLB,"6'2""",,Jr.,"Waukesha, Wis.",West,2014
Marcus Trotter,59,ILB,"6'0""",,Sr.,"Racine, Wis.",Marquette,2014
Connor Udelhoven,60,LS,"5'11""",,So.,"St. Paul, Minn.",Cretin-Derham Hall,2014
Tyler Marz,61,OL,"6'5""",,Jr.,"Springfield, Minn.",Springfield,2014
Walker Williams,62,OL,"6'7""",,So.,"Tacoma, Wash.",Baptist,2014
Michael Deiter,63,OL,"6'5""",,Fr.,"Curtice, Ohio",Genoa,2014
Brett Connors,64,OL,"6'6""",,Fr.,"New Berlin, Wis.",West,2014
Beau Benzschawel,66,OL,"6'6""",,Fr.,"Grafton, Wis.",Grafton,2014
Jaden Gault,68,OL,"6'6""",,Fr.,"Cottage Grove, Wis.",Monona Grove,2014
Aidan McNamara,69,OL,"6'4""",,Fr.,"Madison, Wis.",West,2014
Dan Voltz,70,OL,"6'3""",,So.,"Barrington, Ill.",Barrington,2014
Ray Ball,71,OL,"6'7""",,Jr.,"Columbus, Ohio",Westerville South,2014
Ben Hemer,72,OL,"6'4""",,Fr.,"Medford, Wis.",Medford,2014
Dallas Lewallen,73,OL,"6'6""",,Sr.,"Berlin, Wis.",Berlin,2014
Hayden Biegel,74,OL,"6'6""",,Fr.,"Wisconsin Rapids, Wis.",Wisconsin Rapids,2014
Micah Kapoi,75,OL,"6'4""",,Fr.,"Kapolei, Hawaii",Kapolei,2014
Logan Schmidt,76,OL,"6'4""",,So.,"Gotham, Wis.",Richland Center,2014
Rob Havenstein,78,OL,"6'8""",,Sr.,"Mount Airy, Md.",Linganore,2014
Nicholas Holicek,81,WR,"6'0""",,Fr.,"New Berlin, Wis.",Eisenhower,2014
Jake Stengel,82,WR,"6'3""",,Jr.,"Sheboygan, Wis.",North,2014
Austin Maly,84,TE,"6'5""",,Jr.,"Waunakee, Wis.",Waunakee,2014
Alex Erickson,86,WR,"6'0""",,Jr.,"Darlington, Wis.",Darlington,2014
Sam Eckert,89,TE,"6'5""",,Fr.,"East Troy, Wis.",East Troy,2014
Drew Meyer,90,P,"6'3""",,Jr.,"Hartland, Wis.",Arrowhead,2014
Konrad Zagzebski,91,DE,"6'3""",,Sr.,"Weston, Wis.",D.C. Everest,2014
Jeremy Patterson,92,NG,"6'3""",,Fr.,"Screven, Ga.",Wayne County,2014
Jake Keefer,93,DE,"6'3""",,Jr.,"Woodville, Wis.",Baldwin-Woodville,2014
Conor Sheehy,94,DE,"6'5""",,Fr.,"Milwaukee, Wis.",Marquette,2014
Arthur Goldberg,95,NG,"6'3""",,So.,"Mount Lebanon, Pa.",Mount Lebanon,2014
Billy Hirschfeld,96,DE,"6'6""",,Fr.,"Okauchee, Wis.",Arrowhead,2014
Jack Russell,97,K,"6'0""",,Jr.,"Waunakee, Wis.",Waunakee,2014
James Adeyanju,99,DE,"6'2""",,Jr.,"Chicago, Ill.",Curie Metropolitan,2014
Joel Stave,2,QB,"6'5""",219 lbs,R-Sr.,"Greenfield, Wis.",Whitnall,2015
Tanner McEvoy,3,S,"6'6""",231 lbs,R-Sr.,"Hillsdale, N.J.",Bergen Catholic/Arizona Western College,2015
Darius Hillary,5,CB,"5'11""",187 lbs,R-Sr.,"Cincinnati, Ohio",Sycamore,2015
Corey Clement,6,RB,"5'11""",219 lbs,Jr.,"Glassboro, N.J.",Glassboro,2015
Michael Caputo,7,S,"6'1""",206 lbs,R-Sr.,"Imperial, Pa.",West Allegheny,2015
D.J. Gillins,7,QB,"6'3""",198 lbs,R-Fr.,"Jacksonville, Fla.",Ribault,2015
Sojourn Shelton,8,CB,"5'9""",176 lbs,Jr.,"Fort Lauderdale, Fla.",Plantation,2015
Titus Booker,9,CB,"5'11""",187 lbs,Fr.,"Round Lake Beach, Ill.",Grayslake North,2015
Jordan Fredrick,9,WR,"6'4""",208 lbs,R-Sr.,"Madison, Wis.",Memorial,2015
Rafael Gaglianone,10,K,"5'11""",240 lbs,So.,"Sao Paulo, Brazil",Chattanooga (Tenn.) Baylor,2015
Jazz Peavy,11,WR,"6'0""",189 lbs,R-So.,"Kenosha, Wis.",Tremper,2015
T.J. Reynard,11,CB,"5'10""",170 lbs,Sr.,"Virginia Beach, Va.",Greenbrier Christian/Independence C.C.,2015
Alex Hornibrook,12,QB,"6'4""",211 lbs,Fr.,"West Chester, Pa.",Malvern Prep,2015
Natrell Jamerson,12,CB,"6'0""",191 lbs,So.,"Ocala, Fla.",Vanguard,2015
Evan Bondoc,13,S,"6'1""",201 lbs,R-Fr.,"Madison, Wis.",Edgewood,2015
Bart Houston,13,QB,"6'4""",224 lbs,R-Jr.,"Dublin, Calif.",De La Salle,2015
Thad Armstrong,14,QB,"6'5""",213 lbs,R-Jr.,"Ottawa, Ill.",Wheaton Warrenville South,2015
D'Cota Dixon,14,S,"5'10""",203 lbs,So.,"Oak Hill, Fla.",New Smyrna Beach,2015
Robert Wheelwright,15,WR,"6'3""",202 lbs,Jr.,"Columbus, Ohio",Walnut Ridge,2015
Reggie Love,16,WR,"6'3""",216 lbs,R-Jr.,"Boynton Beach, Fla.",Spanish River,2015
Leo Musso,19,S,"5'10""",186 lbs,R-Jr.,"Waunakee, Wis.",Waunakee,2015
Austin Ramesh,20,FB,"6'1""",246 lbs,R-So.,"Land O’ Lakes, Wis.",Northland Pines,2015
Arrington Farrar,21,S,"6'2""",215 lbs,Fr.,"Atlanta, Ga.",Woodward,2015
Mark Saari,21,RB,"6'0""",208 lbs,R-Fr.,"Montreal, Wis.",Hurley,2015
Caleb Kinlaw,22,RB,"5'10""",190 lbs,R-Fr.,"Goose Creek, S.C.",Goose Creek,2015
